state_name,votes_gop,votes_dem,total_votes
Alabama,1434159,843473,2309900
Arizona,1606370,1626943,3292883
Arkansas,761251,420985,1216818
California,4634409,8979471,13898377
Colorado,1335253,1753416,3173241
Connecticut,698847,1058827,1785882
Delaware,199857,295413,502384
District of Columbia,1149,29509,31260
Florida,5665734,5293624,11079270
Georgia,2454207,2461455,4978518
Hawaii,196602,365802,573854
Idaho,554019,286991,868258
Illinois,2330734,3016834,5454018
Indiana,1727085,1239529,3033176
Iowa,896500,757780,1687823
Kansas,756170,551425,1342296
Kentucky,1342474,777813,2157886
Louisiana,1255528,855630,2147395
Maine,340512,419309,783776
Maryland,851784,1531619,2433721
Massachusetts,1117297,2246253,3441942
Michigan,2646956,2794853,5533143
Minnesota,1485634,1717937,3273857
Mississippi,683527,447162,1148432
Missouri,1711848,1242851,3011076
Montana,341763,243714,603220
Nebraska,550231,367930,941054
Nevada,609901,632558,1269513
New Hampshire,365248,422284,803195
New Jersey,1414156,2057599,3521861
New Mexico,400823,497812,918943
New York,2934143,4235992,7264757
North Carolina,2732818,2656303,5463928
North Dakota,234962,114687,361279
Ohio,3071959,2611377,5775208
Oklahoma,1020280,503890,1560699
Oregon,942737,1318475,2334762
Pennsylvania,3311310,3345724,6748778
Rhode Island,197421,300325,505214
South Carolina,1386207,1092518,2515926
South Dakota,260811,147646,419478
Tennessee,1849791,1139364,3050355
Texas,5872091,5215753,11260098
Utah,743508,475513,1276299
Vermont,111131,227231,350178
Virginia,1953847,2380862,4406810
Washington,1498301,2286324,3892806
West Virginia,589848,259193,864488
Wisconsin,1610030,1630569,3297473
Wyoming,193454,73445,276528
